City,Latitude,Temp degF,%Humidity,Wind Sp (mph),%Cloudy
pacific grove,36.62,20.29,63,6.2,90
nouakchott,18.08,26.0,83,6.2,40
port-gentil,-0.72,24.0,88,3.6,20
bitung,1.44,21.0,94,1.0,20
torbay,47.66,15.0,82,3.6,20
jamestown,-33.21,7.48,93,7.25,73
east london,-33.02,11.88,88,5.58,67
naze,5.43,23.98,89,1.8,100
hithadhoo,-0.6,28.48,75,5.04,100
rocha,-34.48,10.58,93,4.96,98
rikitea,-23.12,21.08,69,5.97,100
bredasdorp,-34.53,16.0,82,6.7,29
cabo san lucas,22.89,33.0,41,6.7,5
ushuaia,-54.81,2.0,69,7.7,40
khonsa,26.99,21.08,96,1.7,72
vyazemskiy,47.53,15.38,94,2.07,36
takab,36.4,18.48,28,3.45,33
hermanus,-34.42,14.48,87,9.85,0
petrovsk,52.31,22.48,40,6.44,99
zambezi,-13.55,18.58,40,2.92,3
tasiilaq,65.61,10.0,53,6.2,5
belushya guba,65.61,10.0,53,6.2,5
fortuna,40.6,19.51,63,6.7,20
yellowknife,62.45,14.0,47,5.7,40
butaritari,3.07,28.58,73,5.59,100
vaini,15.34,24.48,89,0.56,100
taolanaro,15.34,24.48,89,0.56,100
tiznit,29.7,21.68,73,6.73,61
kodiak,39.95,29.56,70,3.1,1
cootamundra,-34.64,5.78,73,2.65,0
bluff,-23.58,13.48,74,1.34,0
iqaluit,63.75,16.0,48,4.6,75
mar del plata,-46.43,3.18,72,7.61,94
sinjai,-5.12,17.78,94,1.46,0
bonnyville,54.27,13.0,47,7.7,40
port elizabeth,39.31,28.66,70,3.1,1
mogadishu,2.04,23.58,83,6.23,18
qaanaaq,77.48,3.48,67,1.76,0
khatanga,71.98,12.78,62,2.76,0
carnarvon,-30.97,17.68,23,4.31,0
albany,42.65,25.49,83,8.7,75
port blair,11.67,27.98,80,8.8,100
teknaf,20.86,27.38,81,6.61,70
maryville,35.76,32.44,38,0.22,1
nanortalik,60.14,7.48,76,2.04,75
narsaq,60.91,11.0,62,3.1,75
punta arenas,-53.16,5.0,65,3.6,0
port alfred,-33.59,12.48,88,8.16,82
mahebourg,-20.41,20.0,88,2.6,40
georgetown,6.8,28.46,74,6.2,0
chuy,-33.69,11.58,96,5.79,100
san jeronimo,-13.65,16.98,36,4.03,20
vestmannaeyjar,63.44,11.48,64,10.92,96
ucluelet,48.94,17.0,82,2.6,90
bengkulu,48.94,17.0,82,2.6,90
qasigiannguit,68.82,13.0,30,6.2,20
airai,-8.93,19.48,88,2.12,82
busselton,-33.64,14.18,67,5.95,100
luderitz,-26.65,21.0,30,0.5,0
salinopolis,-0.61,27.68,78,8.98,0
college,64.86,14.02,50,1.5,40
ribeira grande,38.52,21.58,88,12.17,84
kapaa,22.08,29.44,66,4.6,75
akyab,22.08,29.44,66,4.6,75
oranjemund,-28.55,15.48,72,1.12,0
tecoanapa,16.99,31.0,70,3.6,20
tsurugi,33.97,24.0,94,3.6,40
geraldton,49.72,28.0,39,6.2,75
billings,45.79,15.0,67,3.6,90
dikson,73.51,6.68,100,1.58,100
katobu,-4.94,20.98,94,0.65,98
rehoboth,-23.31,15.28,27,3.43,0
saleaula,-23.31,15.28,27,3.43,0
nam tha,-23.31,15.28,27,3.43,0
ypsonas,34.69,25.65,88,3.1,0
inderborskiy,34.69,25.65,88,3.1,0
san patricio,-26.98,25.08,63,0.73,100
severo-kurilsk,50.68,9.58,92,5.3,2
sitka,37.17,38.98,17,4.99,0
hilo,19.71,28.0,74,2.6,90
